id,raza,sexo,tamano,edad,nota,fecha_publicacion,img_url,img_url_full,local_img_path,estado,fecha_deteccion,fecha_desaparicion
132,Pitbull Terrier,Macho,Mediano,Viejo (10 años o más),":
						Ubicado en el CPA",17 agosto 2023,https://www.vitoria-gasteiz.org/docs/g06/102/132/132_clip.jpg,https://www.vitoria-gasteiz.org/docs/g06/102/132/132.jpg,fotos_perros/132.jpg,activo,2026-05-22,
1697,Pitbull Terrier,Macho,Grande,Adulto (2 - 10 años),":
						Ubicado en el CPA",28 mayo 2025,https://www.vitoria-gasteiz.org/docs/g06/1412/1697/1697_clip.JPG,https://www.vitoria-gasteiz.org/docs/g06/1412/1697/1697.JPG,fotos_perros/1697.jpg,activo,2026-05-22,
1960,Pitbull Terrier,Hembra,Mediano,Adulto (2 - 10 años),":
						Ubicado en el CPA",22 agosto 2023,https://www.vitoria-gasteiz.org/docs/g06/1645/1960/1960_clip.JPG,https://www.vitoria-gasteiz.org/docs/g06/1645/1960/1960.JPG,fotos_perros/1960.jpg,activo,2026-05-22,
2597,Pitbull Terrier,Macho,Mediano,Adulto (2 - 10 años),":
						Ubicado en el CPA",17 agosto 2023,https://www.vitoria-gasteiz.org/docs/g06/2157/2597/2597_clip.JPG,https://www.vitoria-gasteiz.org/docs/g06/2157/2597/2597.JPG,fotos_perros/2597.jpg,activo,2026-05-22,
3313,American Staffordshire Terrier,Macho,Mediano,Adulto (2 - 10 años),":
						Ubicado en el CPA.",4 mayo 2026,https://www.vitoria-gasteiz.org/docs/g06/2720/3313/3313_clip.JPG,https://www.vitoria-gasteiz.org/docs/g06/2720/3313/3313.JPG,fotos_perros/3313.jpg,activo,2026-05-22,
343,Pitbull Terrier,Hembra,Grande,Viejo (10 años o más),":
						Ubicado en el CPA.",4 mayo 2026,https://www.vitoria-gasteiz.org/docs/g06/280/343/343_clip.jpg,https://www.vitoria-gasteiz.org/docs/g06/280/343/343.jpg,fotos_perros/343.jpg,activo,2026-05-22,
3503,American Staffordshire Terrier,Macho,Mediano,Viejo (10 años o más),":
						Ubicado en el CPA",17 agosto 2023,https://www.vitoria-gasteiz.org/docs/g06/2866/3503/3503_clip.JPG,https://www.vitoria-gasteiz.org/docs/g06/2866/3503/3503.JPG,fotos_perros/3503.jpg,activo,2026-05-22,
6457,Mestizo,Macho,Grande,Adulto (2 - 10 años),":
						Ubicado en el CPA",20 marzo 2024,https://www.vitoria-gasteiz.org/docs/g06/5350/6457/6457_clip.JPG,https://www.vitoria-gasteiz.org/docs/g06/5350/6457/6457.JPG,fotos_perros/6457.jpg,activo,2026-05-22,
7080,Mestizo,Macho,Grande,Viejo (10 años o más),":
						Ubicado en el CPA",26 marzo 2025,https://www.vitoria-gasteiz.org/docs/g06/5858/7080/7080_clip.JPG,https://www.vitoria-gasteiz.org/docs/g06/5858/7080/7080.JPG,fotos_perros/7080.jpg,activo,2026-05-22,
7244,Pitbull Terrier,Hembra,Mediano,Adulto (2 - 10 años),":
						Ubicado en el CPA.",23 enero 2026,https://www.vitoria-gasteiz.org/docs/g06/5982/7244/7244_clip.JPG,https://www.vitoria-gasteiz.org/docs/g06/5982/7244/7244.JPG,fotos_perros/7244.jpg,activo,2026-05-22,
7313,Pastor alemán alsaciano,Macho,Grande,Viejo (10 años o más),":
						Ubicado en el CPA 

 Pendiente de regularización administrativa.",11 julio 2025,https://www.vitoria-gasteiz.org/docs/g06/6049/7313/7313_clip.JPG,https://www.vitoria-gasteiz.org/docs/g06/6049/7313/7313.JPG,fotos_perros/7313.jpg,activo,2026-05-22,
7431,Mestizo,Macho,Mediano,Adulto (2 - 10 años),":
						Ubicado en el CPA",13 agosto 2025,https://www.vitoria-gasteiz.org/docs/g06/6164/7431/7431_clip.JPG,https://www.vitoria-gasteiz.org/docs/g06/6164/7431/7431.JPG,fotos_perros/7431.jpg,desaparecido,2026-05-22,2026-05-28
7446,Pitbull Terrier,Hembra,Mediano,Adulto (2 - 10 años),":
						Ubicado en el CPA.",23 octubre 2025,https://www.vitoria-gasteiz.org/docs/g06/6179/7446/7446_clip.JPG,https://www.vitoria-gasteiz.org/docs/g06/6179/7446/7446.JPG,fotos_perros/7446.jpg,activo,2026-05-22,
7815,Pastor Vasco,Macho,Grande,Viejo (10 años o más),":
						Ubicado en el CPA.",23 octubre 2025,https://www.vitoria-gasteiz.org/docs/g06/6464/7815/7815_clip.JPG,https://www.vitoria-gasteiz.org/docs/g06/6464/7815/7815.JPG,fotos_perros/7815.jpg,activo,2026-05-22,
7862,Pitbull Terrier,Macho,Grande,Adulto (2 - 10 años),":
						Ubicado en el CPA.",13 mayo 2026,https://www.vitoria-gasteiz.org/docs/g06/6497/7862/7862_clip.jpg,https://www.vitoria-gasteiz.org/docs/g06/6497/7862/7862.jpg,fotos_perros/7862.jpg,activo,2026-05-22,
7868,Mastin Español,Macho,Grande,Viejo (10 años o más),":
						Ubicado en el CPA.",16 abril 2026,https://www.vitoria-gasteiz.org/docs/g06/6502/7868/7868_clip.jpg,https://www.vitoria-gasteiz.org/docs/g06/6502/7868/7868.jpg,fotos_perros/7868.jpg,activo,2026-05-22,
8004,Mestizo,Macho,Grande,Viejo (10 años o más),":
						Ubicado en el CPA.",27 marzo 2026,https://www.vitoria-gasteiz.org/docs/g06/6615/8004/8004_clip.JPG,https://www.vitoria-gasteiz.org/docs/g06/6615/8004/8004.JPG,fotos_perros/8004.jpg,activo,2026-05-22,
8066,Mestizo,Macho,Grande,Joven (7 meses - 2 años),":
						Ubicado en el CPA.",16 abril 2026,https://www.vitoria-gasteiz.org/docs/g06/6669/8066/8066_clip.jpg,https://www.vitoria-gasteiz.org/docs/g06/6669/8066/8066.jpg,fotos_perros/8066.jpg,activo,2026-05-22,
8084,Mestizo,Macho,Grande,Adulto (2 - 10 años),":
						Ubicado en el CPA.",26 mayo 2026,https://www.vitoria-gasteiz.org/docs/g06/6686/8084/8084_clip.jpg,https://www.vitoria-gasteiz.org/docs/g06/6686/8084/8084.jpg,fotos_perros/8084.jpg,activo,2026-05-26,
